ID,Nom,Lat,Lon,Date
147,Hardehausen,51.549733,8.998964,1140
148,Joao de Tarouca,40.995057,-7.746147,1140
149,Chezery,46.2183,5.8938,1140
150,Whitland,51.8276,-4.5727,1140
151,Tre Fontane,41.8308,12.4966,1140
152,Newbattle,55.8801,-3.0398,1140
153,Froidmont,49.3757,2.2896,1140
154,Oseira,42.538386,-7.950939,1140
155,Sittichenbach,51.4622,11.5451,1141
156,Boheries,49.9153,3.6013,1141
157,Bonlieu de Carbon-Blanc,44.8905,-0.4892,1141
158,Le Pin,46.5654,0.1394,1141
159,Fitero,42.0561,-1.8583,1141
160,Monsalud,40.491259,-2.661015,1141
161,Cercamp,50.2665,2.3286,1141
162,Chiaravalle di Fiastra,43.221389,13.405,1141
163,Le Reclus,48.8351,3.7518,1141
164,Sobrado,43.038608,-8.022509,1141
165,Sacramenia,41.498947,-3.924707,1141
166,Georgenthal,50.8257,10.6866,1141
167,Viktring,46.5864,14.4141,1141
168,Fontevivo,44.8575,10.175833,1141
169,Baumgartenberg,48.2054,14.7703,1141
170,Melon,42.255556,-8.216667,1142
171,Coatmalouen,48.3993,-3.0777,1142
172,Dundrennan,54.8052,-3.9182,1142
173,Mellifont,53.7393,-6.4388,1142
174,Cikador,46.1846,18.7533,1142
175,Valbuena,41.629444,-4.261389,1143
176,Haut-Cret,46.5489,6.8328,1143
177,Sturzelbronn,49.0544,7.6137,1143
178,Wagrowiec,52.8,17.2,1143
179,Franquevaux,43.6458,4.3753,1143
180,Meira,43.213056,-7.291111,1143
181,Alvastra,58.29639,14.65361,1143
182,Nydala,57.3246,14.3567,1143
183,Cwmhir,52.329722,-3.3875,1143
184,Acquafredda,45.977676,9.188932,1143
185,Belleperche,43.991,1.1271,1143
186,Revesby,53.1337,-0.0237,1143
187,Mariental,52.2729,11.0126,1143
188,Pipewell,52.4595,-0.7337,1143
189,Falleri,42.3,12.355833,1143
190,Raitenhaslach,48.125,13.0998,1143
191,Sedlec,49.96,15.290278,1143
192,Walderbach,49.1813,12.4058,1143
193,Planselve,43.6168,0.8902,1143
194,Monthiers-en-Argonne,48.8954,4.9052,1144
195,Beaulieu-en-Rouergue,44.2064,1.8816,1144
196,Ecurey,48.555,5.2968,1144
197,Huerta,41.261449,-2.177068,1144
198,Herrevad,56.0852,13.26,1144
199,La Noe,48.9924,1.0727,1144
200,Olivet,47.274,1.8306,1144
201,L'Estree,48.7637,1.3326,1144
202,Schonau,49.4327,8.837,1144
203,Grandselve,43.8528,1.1656,1144
204,Plasy,49.9319,13.4181,1144
205,Otterberg,49.4999,7.8013,1144
206,Woburn,51.9798,-0.5663,1145
207,Nepomuk,49.5,13.566667,1145
208,Perseigne,48.3873,0.2887,1145
209,Riddagshausen,52.267386,10.577264,1145
210,L'Etoile,46.6504,0.7306,1145
211,Trizay,46.5856,-1.0864,1145
212,Melleray,47.5455,-1.3503,1145
213,La Pree,46.9035,2.1597,1145
214,Fontfroide,43.1237,2.9258,1145
215,Follina,45.953889,12.117778,1146
216,Villers-la-Ville,50.590833,4.53,1146
217,Aldersbach,48.5844,13.1136,1146
218,La Colombe,46.4305,1.2494,1146
219,Lyse,60.227778,5.405556,1146
220,San Giusto in Tuscania,42.385833,11.874722,1146
221,Michaelstein,51.806111,10.914167,1146
222,Wilhering,48.3206,14.2177,1146
223,Lad,52.2031,17.9221,1146
224,Veruela,41.812222,-1.7,1146
225,Boxley,51.2969,0.5526,1146
226,Castagnola,43.5969,13.3542,1147
227,Bective,53.586111,-6.7,1147
228,Herrenalb,48.7929,8.4639,1147
229,Dore,51.968611,-2.9,1147
230,Hovedoya,59.895553,10.729253,1147
231,Kirkstall,53.8178,-1.5795,1147
232,Vaudey,52.7784,-0.4395,1147
233,Le Val-Richer,49.1575,0.1243,1143
234,Biddlesden,52.0512,-1.0516,1147
235,Bruern,51.8782,-1.5887,1147
236,Roche,53.3992,-1.1561,1147
237,Sawtry,52.424,-0.2137,1147
238,Savigny,48.3959,-1.0794,1147
239,Beaubec,49.6368,1.5268,1148
240,Les Vaux-de-Cernay,48.6807,1.9636,1147
241,Furness,54.1326,-3.1939,1147
242,Chaloché,47.5378,-0.2537,1147
243,Foucarmont,49.8467,1.5932,1147
244,Neath,51.660833,-3.826389,1147
245,Gouffern,48.8613,-0.1222,1147
246,La Boissiere,47.5489,0.1569,1147
247,Aunay,49.0179,-0.6034,1147
248,Quarr,50.7279,-1.1721,1147
249,Basingwerk,53.28813,-3.20711,1147
250,Combermere,52.993611,-2.613889,1147
251,Fontaine-les-Blanches,47.49738,0.99937,1147
252,Calder,54.441944,-3.466111,1147
253,Rushen,54.09813,-4.63349,1147
254,Swineshead,52.94679,-0.14799,1147
255,Longvillers,50.53212,1.73236,1147
256,Stratford Langthorne,51.533333,0,1147
257,Buildwas,52.63529,-2.52821,1147
258,Lannoy,49.59115,1.91223,1147
259,Buckfast,50.49258,-3.77515,1147
260,Breuil-Benoit,48.80883,1.35585,1147
261,Byland,54.20317,-1.15829,1147
262,St. Mary’s (Dublin),53.34742,-6.269192,1147
263,Coggeshall,51.86772,0.69414,1147
264,Vieuville,48.52638,-1.68557,1147
265,La Trappe,48.6364,0.57438,1147
266,Aubazine,45.17443,1.67121,1147
267,La Valette,45.23426,2.16688,1147
268,Bonnaigue,45.57461,2.36773,1147
269,Silvacane,43.71577,5.32936,1147
270,Chehery,49.28898,4.97179,1147
271,Margam,51.562786,-3.730379,1147
272,Espina,41.7325,-5.1,1147
273,Aulne,50.3621,4.359,1147
274,Ardorel,43.54208,2.3434,1147
275,La Faise,44.96838,-0.12738,1147
276,Fontguilhem,44.39532,-0.07064,1147
277,Sawley,53.91339,-2.34106,1147
278,Alcobaca,39.54842,-8.9777,1147
279,Billon,47.1075,5.96138,1147
280,Barbeau,48.46683,2.77634,1147
281,Rioseco,42.893611,-3.633333,1148
282,Varennes,46.58538,1.86734,1148
283,Baumgarten,48.364167,7.403333,1148
284,Senanque,43.92829,5.18772,1148
285,Rufford,53.1729,-1.0085,1148
286,Elan,49.66316,4.75767,1148
287,Cambron,50.5859,3.88633,1148
288,Boyle,53.97366,-8.29646,1148
289,Merevale,52.57686,-1.57221,1148
290,Eusserthal,49.24167,7.97124,1148
291,Monasteranenagh,52.516898,-8.66286,1148
292,Baltinglass,52.943801,-6.709865,1148
293,Calers,43.26,1.47499,1148
294,Fontmorigny,47.03189,2.95727,1149
